campus,entity,L1,L1_2021,L2,L3,persistence,L4,L5,n_wos,n_years_active,tau_campus,r_L1,r_L2,r_L3,r_L4,r_L5,n_ledgers,mean_rank,meii,meii_iqr,L6
5,C10,615796.7204,687209.0735088286,16057.099999999999,8281.25,0.8928571428571429,83744.1682,0.48722605961471466,9275,7,342.54,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.42857142857142855,5,0.3714285714285714,0.16288220358559113,0.14285714285714285,1102445.6795088286
5,D20,5023206.475842896,5585783.958389841,166495.89,48187.5,0.8928571428571429,1911212.0112428959,0.4698824565139543,53970,7,342.54,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.2857142857142857,5,0.7428571428571428,0.25555062599997597,0.0,9891367.67378984
5,D30,11872656.21893174,13154414.807717282,364025.3600000001,90497.32142857143,0.8928571428571429,5625211.483231741,0.462049700541885,101357,7,342.54,1.0,1.0,1.0,1.0,0.14285714285714285,5,0.8285714285714286,0.3833259389999639,0.0,22568110.617317285
5,D40,1648363.2472377215,1840612.203036454,25438.45,27951.785714285717,0.8928571428571429,1264386.9076377216,0.6188466752406241,31306,7,342.54,0.7142857142857143,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.5714285714285714,5,0.6571428571428571,0.07824607964359519,0.1428571428571429,2498450.5200364543
5,E20,465378.00639999995,508666.99622881773,16241.300000000001,1797.3214285714287,0.8928571428571429,311453.1474,0.7879847712434427,2013,7,342.54,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.8571428571428571,5,0.42857142857142855,0.2672612419124244,0.14285714285714285,928667.0142288178
8,B20,725104.3563,792658.9295618306,10471.699999999999,3116.5714285714284,0.8571428571428571,293209.91659999994,0.6217146065965965,3636,7,977.7272,0.4117647058823529,0.4117647058823529,0.5882352941176471,0.4117647058823529,0.35294117647058826,5,0.4352941176470588,0.08921029934178296,0.0,1063457.0915618306
8,B30,56776.15819999999,62034.76017182628,1382.1000000000001,289.1428571428571,0.8214285714285714,19430.494199999997,0.6261449474907581,352,7,977.7272,0.11764705882352941,0.23529411764705882,0.29411764705882354,0.058823529411764705,0.4117647058823529,5,0.2235294117647059,0.14043925160368614,0.17647058823529413,97775.86617182629
8,C10,1017411.9415999999,1119840.0061903205,21483.050000000003,4472.571428571428,0.8571428571428571,485238.0843,0.6900415816408025,5218,7,977.7272,0.5882352941176471,0.5882352941176471,0.7647058823529411,0.5294117647058824,0.5294117647058824,5,0.6,0.09665692191267634,0.05882352941176472,1675391.6791903204
8,C20,113079.52039999998,124297.40194466768,2226.17,224.25,0.8214285714285714,66910.1403,0.774379909745936,273,7,977.7272,0.29411764705882354,0.35294117647058826,0.23529411764705882,0.29411764705882354,0.7647058823529411,5,0.38823529411764707,0.21452450033894668,0.05882352941176472,181866.1581446677
8,C30,1325940.365,1465645.759842466,24473.71,2649.928571428571,0.8214285714285714,787312.2712000001,0.4856954260679081,3226,7,977.7272,0.6470588235294118,0.6470588235294118,0.5294117647058824,0.6470588235294118,0.058823529411764705,5,0.5058823529411764,0.25505274574916237,0.11764705882352944,2098535.900442466
8,D10,77397.96860000001,85119.05297162317,1333.5,701.5,0.8214285714285714,25066.371199999998,0.7226810875532218,854,7,977.7272,0.23529411764705882,0.17647058823529413,0.47058823529411764,0.11764705882352941,0.6470588235294118,5,0.32941176470588235,0.22244318119045925,0.2941176470588235,119603.36297162317
8,D20,4667953.734499999,5139950.916344102,66203.1,13061.142857142857,0.8571428571428571,2699401.3921,0.5677861449930626,15238,7,977.7272,0.8235294117647058,0.8235294117647058,0.8823529411764706,0.8823529411764706,0.23529411764705882,5,0.7294117647058823,0.27778162242629634,0.05882352941176472,6851963.082344102
8,D30,8837049.6007,9742623.7609897,128284.38,17120.571428571428,0.8571428571428571,5789973.581900001,0.5317882138166442,19974,7,977.7272,0.9411764705882353,1.0,0.9411764705882353,0.9411764705882353,0.17647058823529413,5,0.7999999999999999,0.34949295947089287,0.0,13060057.8277897
